Region,LAWASiteID,LAWAWellName,Latitude,Longitude,Chloride,Dissolved reactive phosphorus,E. coli,Electrical conductivity,Nitrate nitrogen
Canterbury,LAWA-102475,BX23/0772,-43.44717731,172.4136911,2.0833333333333335,0.0025666666666666667,1.0,10.566666666666666,0.1945
Canterbury,LAWA-102476,BX23/0773,-43.44710229,172.4138301,9.257142857142856,0.007928571428571427,1.0,10.957142857142857,1.3342857142857143
Canterbury,LAWA-102477,BX23/0854,-43.63887027,172.365166,15.85,0.003175,1.0,21.75,9.175
Canterbury,LAWA-102478,BX24/0347,-43.55118782,172.6464715,16.518181818181816,0.003427272727272727,1.0,34.699999999999996,4.5636363636363635
Canterbury,LAWA-102479,BY22/0031,-43.80164458,172.2426856,11.904000000000002,0.002585714285714286,1.0,28.823809523809523,7.484
Canterbury,LAWA-102480,BY22/0045,-43.84037579,172.223462,2.585714285714286,0.001542857142857143,1.0,10.37142857142857,0.9542857142857143
Canterbury,LAWA-102481,BY22/0067,-43.87744083,172.0855263,24.06875,0.0024749999999999998,1.0,33.523529411764706,13.952941176470588
Canterbury,LAWA-102482,K36/0088,-43.60691281,171.5613603,3.6526315789473687,0.004309090909090909,16.42105263157895,14.857894736842105,4.347368421052631
Canterbury,LAWA-102483,K36/0104,-43.70139779,171.6395726,5.261904761904762,0.0019666666666666665,4.6,18.776190476190475,8.257142857142858
Canterbury,LAWA-102484,K36/0119,-43.73577125,171.5992583,2.0714285714285716,0.004316666666666667,1.0,9.766666666666666,1.5071428571428571
Canterbury,LAWA-102485,K36/0489,-43.7518332,171.7122062,4.88,0.00567,1.0,19.11,7.456666666666666
Canterbury,LAWA-102486,K36/0684,-43.58079407,171.6221383,5.08125,0.006719999999999999,3.75,12.95625,4.98125
Canterbury,LAWA-102487,K36/0687,-43.66997441,171.7477867,4.506666666666666,0.00441,1.0,20.28666666666667,5.826666666666667
Canterbury,LAWA-102488,K36/1073,-43.71470437,171.7493826,3.4875,0.016855555555555554,1.0,16.46875,2.84375
Canterbury,LAWA-102489,K36/1074,-43.62982194,171.7326646,5.294444444444444,0.004127272727272728,1.0,22.183333333333334,8.11111111111111
Canterbury,LAWA-102490,L35/0171,-43.49032219,172.0408225,6.265,0.0022833333333333334,1.0,12.584999999999999,2.8155
Canterbury,LAWA-102491,L35/0190,-43.48794996,172.1746938,10.405263157894737,0.0057,1.0,21.821052631578947,9.578947368421053
Canterbury,LAWA-102492,L35/0191,-43.49481401,172.2117051,7.05,0.009341666666666667,1.0,14.675,4.26
Canterbury,LAWA-102493,L35/0194,-43.4556965,172.2039324,2.2772727272727273,0.002558333333333333,1.0,9.272727272727273,0.2650454545454546
Canterbury,LAWA-102494,L35/0205,-43.52348348,172.0151127,9.2,0.0029769230769230767,1.3673469387755102,18.002,5.442
Canterbury,LAWA-102495,L35/0349,-43.30996317,172.2230685,4.7318181818181815,0.005416666666666667,1.0,10.854545454545455,1.1454545454545455
Canterbury,LAWA-102496,L35/0558,-43.33570407,171.9290773,4.464705882352941,0.0021,1.4705882352941178,13.805882352941175,2.5094117647058822
Canterbury,LAWA-102497,L35/0850,-43.33457042,172.1829287,5.066666666666666,0.008527272727272727,1.0,16.466666666666665,2.0786666666666664
Canterbury,LAWA-102498,L35/0878,-43.51487192,171.8039219,6.8842105263157904,0.021844444444444444,1.0,16.76842105263158,0.14026315789473684
Canterbury,LAWA-102499,L35/0910,-43.51974105,172.1459856,6.757142857142857,0.008071428571428571,1.0833333333333333,13.571428571428571,4.164285714285714
